epoch,loss,val_loss,accuracy,val_accuracy
1,0.8109995126724243,0.2225162237882614,0.8326754570007324,0.9964912533760071
2,0.11427842825651169,0.015557367354631424,0.9927631616592407,1.0
3,0.0489373542368412,0.0028834177646785975,0.9984649419784546,1.0
4,0.030533336102962494,0.001072701532393694,0.9991227984428406,1.0
5,0.018870307132601738,0.0006095123244449496,0.9986842274665833,1.0
6,0.012886745855212212,0.0003851940855383873,0.9991227984428406,1.0
7,0.010271407663822174,0.00023856680491007864,0.9997807145118713,1.0
8,0.008537381887435913,0.00015508696378674358,0.9993420839309692,1.0
9,0.005691319704055786,0.00014903326518833637,1.0,1.0
10,0.0058437311090528965,0.00011664856720017269,0.9995614290237427,1.0
11,0.0045812190510332584,6.335408397717401e-05,1.0,1.0
12,0.005166717804968357,0.00023919333762023598,0.9993420839309692,1.0
13,0.0077612693421542645,0.0019208454759791493,0.9984649419784546,1.0
14,0.006203140132129192,4.981680103810504e-05,0.9995614290237427,1.0
15,0.002896118676289916,2.411661989754066e-05,1.0,1.0
16,0.0031673891935497522,2.0920244423905388e-05,0.9995614290237427,1.0
17,0.0017471960745751858,1.6122892702696845e-05,1.0,1.0
18,0.0018956640269607306,1.4334656952996738e-05,1.0,1.0
19,0.002147006569430232,1.7533442587591708e-05,0.9997807145118713,1.0
20,0.0017232547979801893,1.2942294233653229e-05,0.9997807145118713,1.0
21,0.001538573415018618,1.2134204553149175e-05,1.0,1.0
22,0.0024683887604624033,1.0476232091605198e-05,0.9997807145118713,1.0
23,0.0027090476360172033,1.0439376637805253e-05,0.9993420839309692,1.0
24,0.001119454507716,1.0434912837808952e-05,1.0,1.0
25,0.0014422644162550569,7.979539077496156e-06,0.9997807145118713,1.0
26,0.0009922725148499012,9.277759090764448e-06,1.0,1.0
27,0.0012214409653097391,7.044574431347428e-06,1.0,1.0
28,0.0009692352032288909,6.560847396031022e-06,1.0,1.0
29,0.0010108010610565543,6.334771114779869e-06,1.0,1.0
30,0.0008697365992702544,5.934148248343263e-06,1.0,1.0
31,0.0008991396171040833,6.105211468820926e-06,1.0,1.0
32,0.000860153348185122,7.580839337606449e-06,1.0,1.0
33,0.0008825279073789716,5.904915269638877e-06,0.9997807145118713,1.0
34,0.0006619302439503372,5.451878678286448e-06,1.0,1.0
35,0.0007645428413525224,5.269313078315463e-06,1.0,1.0
36,0.0007579876692034304,1.050186710926937e-05,1.0,1.0
37,0.0007566172280348837,6.092173862271011e-06,1.0,1.0
38,0.0008105839951895177,5.24501638210495e-06,1.0,1.0
39,0.0007174087804742157,4.82344103147625e-06,1.0,1.0
40,0.0007163480622693896,4.791345872945385e-06,1.0,1.0
41,0.0006426302716135979,4.45327759734937e-06,1.0,1.0
42,0.0007101816008798778,4.522709787124768e-06,1.0,1.0
43,0.0008574631647206843,4.473455646802904e-06,1.0,1.0
44,0.0008530184859409928,4.368056579551194e-06,0.9997807145118713,1.0
45,0.0006010798388160765,4.3051063585153315e-06,1.0,1.0
46,0.0007386735524050891,4.185689249425195e-06,1.0,1.0
47,0.0005838680081069469,4.151078428549226e-06,1.0,1.0
48,0.0008153748349286616,4.099419129488524e-06,1.0,1.0
49,0.0005770098068751395,4.233893832861213e-06,1.0,1.0
50,0.0005396509659476578,4.129115040996112e-06,1.0,1.0
51,0.0005071888444945216,4.134031769353896e-06,1.0,1.0
52,0.0006667276611551642,4.22291441282141e-06,1.0,1.0
53,0.0008470346801914275,4.041279225930339e-06,0.9997807145118713,1.0
54,0.0006904865731485188,4.154736416239757e-06,1.0,1.0
55,0.0006735356291756034,4.1341363612446e-06,1.0,1.0
56,0.0006139414035715163,4.1542143662809394e-06,1.0,1.0
57,0.0005138750420883298,4.187572812952567e-06,1.0,1.0
58,0.0007157852523960173,4.056128545926185e-06,1.0,1.0
59,0.0008735887240618467,3.93211030313978e-06,0.9997807145118713,1.0
60,0.0009523161570541561,3.829946763289627e-06,0.9997807145118713,1.0
61,0.000584572902880609,3.998721240350278e-06,1.0,1.0
62,0.0007348561193794012,4.040862677356927e-06,1.0,1.0
63,0.0006354528595693409,4.006876679341076e-06,1.0,1.0
64,0.0005918428651057184,3.869264673994621e-06,1.0,1.0
65,0.0006724792183376849,3.871773515129462e-06,1.0,1.0
66,0.0005904369754716754,3.8050588955229614e-06,1.0,1.0
67,0.0007569896406494081,3.898855993611505e-06,1.0,1.0
68,0.0005729080294258893,3.947794084524503e-06,1.0,1.0
69,0.00048725662054494023,3.820220172201516e-06,1.0,1.0
70,0.0007210648618638515,3.736565759027144e-06,1.0,1.0
71,0.0006670701550319791,3.948107405449264e-06,1.0,1.0
72,0.0006694315816275775,3.894150268024532e-06,1.0,1.0
73,0.0007111625163815916,3.910673513018992e-06,1.0,1.0
74,0.0007632898050360382,3.854206170217367e-06,1.0,1.0
75,0.0006161663332022727,4.013882062281482e-06,1.0,1.0
76,0.0006843621958978474,3.800039621637552e-06,1.0,1.0
77,0.0005436203209683299,3.878675215673866e-06,1.0,1.0
78,0.0006510296370834112,3.991190624219598e-06,1.0,1.0
79,0.0008763480000197887,3.902830940205604e-06,0.9997807145118713,1.0
80,0.0005887694424018264,3.899693638231838e-06,1.0,1.0
