epoch,loss,val_loss
1,0.8109995126724243,0.2225162237882614
2,0.11427842825651169,0.015557367354631424
3,0.0489373542368412,0.0028834177646785975
4,0.030533336102962494,0.001072701532393694
5,0.018870307132601738,0.0006095123244449496
6,0.012886745855212212,0.0003851940855383873
7,0.010271407663822174,0.00023856680491007864
8,0.008537381887435913,0.00015508696378674358
9,0.005691319704055786,0.00014903326518833637
10,0.0058437311090528965,0.00011664856720017269
11,0.0045812190510332584,6.335408397717401e-05
12,0.005166717804968357,0.00023919333762023598
13,0.0077612693421542645,0.0019208454759791493
14,0.006203140132129192,4.981680103810504e-05
15,0.002896118676289916,2.411661989754066e-05
16,0.0031673891935497522,2.0920244423905388e-05
17,0.0017471960745751858,1.6122892702696845e-05
18,0.0018956640269607306,1.4334656952996738e-05
19,0.002147006569430232,1.7533442587591708e-05
20,0.0017232547979801893,1.2942294233653229e-05
21,0.001538573415018618,1.2134204553149175e-05
22,0.0024683887604624033,1.0476232091605198e-05
23,0.0027090476360172033,1.0439376637805253e-05
24,0.001119454507716,1.0434912837808952e-05
25,0.0014422644162550569,7.979539077496156e-06
26,0.0009922725148499012,9.277759090764448e-06
27,0.0012214409653097391,7.044574431347428e-06
28,0.0009692352032288909,6.560847396031022e-06
29,0.0010108010610565543,6.334771114779869e-06
30,0.0008697365992702544,5.934148248343263e-06
31,0.0008991396171040833,6.105211468820926e-06
32,0.000860153348185122,7.580839337606449e-06
33,0.0008825279073789716,5.904915269638877e-06
34,0.0006619302439503372,5.451878678286448e-06
35,0.0007645428413525224,5.269313078315463e-06
36,0.0007579876692034304,1.050186710926937e-05
37,0.0007566172280348837,6.092173862271011e-06
38,0.0008105839951895177,5.24501638210495e-06
39,0.0007174087804742157,4.82344103147625e-06
40,0.0007163480622693896,4.791345872945385e-06
41,0.0006426302716135979,4.45327759734937e-06
42,0.0007101816008798778,4.522709787124768e-06
43,0.0008574631647206843,4.473455646802904e-06
44,0.0008530184859409928,4.368056579551194e-06
45,0.0006010798388160765,4.3051063585153315e-06
46,0.0007386735524050891,4.185689249425195e-06
47,0.0005838680081069469,4.151078428549226e-06
48,0.0008153748349286616,4.099419129488524e-06
49,0.0005770098068751395,4.233893832861213e-06
50,0.0005396509659476578,4.129115040996112e-06
51,0.0005071888444945216,4.134031769353896e-06
52,0.0006667276611551642,4.22291441282141e-06
53,0.0008470346801914275,4.041279225930339e-06
54,0.0006904865731485188,4.154736416239757e-06
55,0.0006735356291756034,4.1341363612446e-06
56,0.0006139414035715163,4.1542143662809394e-06
57,0.0005138750420883298,4.187572812952567e-06
58,0.0007157852523960173,4.056128545926185e-06
59,0.0008735887240618467,3.93211030313978e-06
60,0.0009523161570541561,3.829946763289627e-06
61,0.000584572902880609,3.998721240350278e-06
62,0.0007348561193794012,4.040862677356927e-06
63,0.0006354528595693409,4.006876679341076e-06
64,0.0005918428651057184,3.869264673994621e-06
65,0.0006724792183376849,3.871773515129462e-06
66,0.0005904369754716754,3.8050588955229614e-06
67,0.0007569896406494081,3.898855993611505e-06
68,0.0005729080294258893,3.947794084524503e-06
69,0.00048725662054494023,3.820220172201516e-06
70,0.0007210648618638515,3.736565759027144e-06
71,0.0006670701550319791,3.948107405449264e-06
72,0.0006694315816275775,3.894150268024532e-06
73,0.0007111625163815916,3.910673513018992e-06
74,0.0007632898050360382,3.854206170217367e-06
75,0.0006161663332022727,4.013882062281482e-06
76,0.0006843621958978474,3.800039621637552e-06
77,0.0005436203209683299,3.878675215673866e-06
78,0.0006510296370834112,3.991190624219598e-06
79,0.0008763480000197887,3.902830940205604e-06
80,0.0005887694424018264,3.899693638231838e-06
